name_category,img_category,url_category,title
Other,5e2257729c9d0b76361896a255411aa2.jpg,https://en.sas.am/categories/Other_2766/,False
Oil, ghee,0cc8bba61abd78e6d51f43ae118f530f.jpg,https://en.sas.am/categories/Oil_ghee__1084/,True
Oil,b6e78018763ce3f320f2a9c8f87b2eeb.jpg,https://en.sas.am/categories/Oil__1097/,False
Ghee,2df20adfc5930856a1924b4b1e183d6c.jpg,https://en.sas.am/categories/Ghee__1098/,False
Ketchup, mayonnaise, sauce,36c7ab2788adfdbbd0c7e39d70a98248.jpg,https://en.sas.am/categories/Ketchup_mayonnaise_sauce__1085/,True
Ketchup,1f3b6368cf2c5d8fdad49d177fa164c0.jpg,https://en.sas.am/categories/Ketchup_1099/,False
Sauce,360ca4019738ab46fa0344a9d59817ff.jpg,https://en.sas.am/categories/Sauce_1101/,False
Mayonnaise,639736607b7b3f18cd99ff73426a96b1.jpg,https://en.sas.am/categories/Mayonnaise_1100/,False
Mustard, horseradish, fenugreek,1afbd223f45ced5e90d91668e70335c2.jpg,https://en.sas.am/categories/Mustard_horseradish_fenugreek__1102/,False
Other,b56ea1d7e341e95aa03d9b48c2a6a072.jpg,https://en.sas.am/categories/Other_2767/,False
Legumes,1b5acaf4b442d6cee9e5727bef9a2148.jpg,https://en.sas.am/categories/Legumes_5839/,True
Peas, chick-pea,9432ac97aeedaef38b0ba7e0535649e5.jpg,https://en.sas.am/categories/Peas_chick_pea_3037/,False
Beans, lentils,6f4ce94a2dc29818badc706ee55f4c1d.jpg,https://en.sas.am/categories/Beans_lentils__3038/,False
Quick-cooking products,8a6f4d226aa7662349fcb795674e81f0.jpg,https://en.sas.am/categories/Quick_cooking_products__1086/,True
Soup, broth,6f6b0f93754ad6191b54049d520f7c4d.jpg,https://en.sas.am/categories/Soup_broth_1105/,False
Vermicelli, noodles,82ba4471437aaf5fbc07d9fbfba8ccd7.jpg,https://en.sas.am/categories/Vermicelli_noodles_2768/,False
Purée,2914032c500e7eca8c70407ccd833d61.jpg,https://en.sas.am/categories/Pur%C3%A9e__2769/,False
Breakfast cereals, flakes,a45417060174a9eb6e1b0abd140b1dab.jpg,https://en.sas.am/categories/Breakfast_cereals_flakes_2757/,True
Breakfast cereal,88c1b9ded2cc1a1168fdb91cddf17c75.jpg,https://en.sas.am/categories/Breakfast_cereal__3039/,False
Porridge, muesli,0d7d2848f3fdb162edc85701824abad2.jpg,https://en.sas.am/categories/Porridge_muesli__2773/,False
Flakes, oatmeal,46f690ecafb2f8bfffd238a57f0e4b73.jpg,https://en.sas.am/categories/Flakes_oatmeal__2771/,False
Other,c6cf82d19b64aea2d03b00b11672a54d.jpg,https://en.sas.am/categories/Other_3040/,False
Sugar, salt, soda,1093ec1e4735463c3acc79ea51907bcb.jpg,https://en.sas.am/categories/Sugar_salt_soda_1087/,True
Sugar,93a9a6f2a61837193871e0c20d380b8e.jpg,https://en.sas.am/categories/Sugar_1106/,False
Salt,5ab6d17698d880c0b980f7ceef61b3c7.jpg,https://en.sas.am/categories/Salt_1107/,False
